Label,Start date,End date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy
Sen2-20180304-20180314,20180304,20180314,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180304_0_L1C_X_S2B_7VFH_20180314_0_L1C_G0120V02_P082.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180304_0_L1C_X_S2B_7VFH_20180314_0_L1C_G0120V02_P082.nc_vy.tif
Sen2-20180314-20180329,20180314,20180329,15,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180314_0_L1C_X_S2A_7VFH_20180329_0_L1C_G0120V02_P083.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180314_0_L1C_X_S2A_7VFH_20180329_0_L1C_G0120V02_P083.nc_vy.tif
Sen2-20180523-20180612,20180523,20180612,20,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180523_0_L1C_X_S2B_7VFH_20180612_0_L1C_G0120V02_P070.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180523_0_L1C_X_S2B_7VFH_20180612_0_L1C_G0120V02_P070.nc_vy.tif
Sen2-20180612-20180627,20180612,20180627,15,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180612_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P066.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180612_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P066.nc_vy.tif
Sen2-20180619-20180704,20180619,20180704,15,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180619_0_L1C_X_S2A_7VFH_20180704_0_L1C_G0120V02_P068.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180619_0_L1C_X_S2A_7VFH_20180704_0_L1C_G0120V02_P068.nc_vy.tif
Sen2-20180722-20180727,20180722,20180727,5,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180722_0_L1C_X_S2A_7VFH_20180727_0_L1C_G0120V02_P090.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180722_0_L1C_X_S2A_7VFH_20180727_0_L1C_G0120V02_P090.nc_vy.tif
Sen2-20180729-20180818,20180729,20180818,20,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180729_0_L1C_X_S2B_7VFH_20180818_0_L1C_G0120V02_P091.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180729_0_L1C_X_S2B_7VFH_20180818_0_L1C_G0120V02_P091.nc_vy.tif
Sen2-20180801-20180811,20180801,20180811,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180801_0_L1C_X_S2B_7VFH_20180811_0_L1C_G0120V02_P077.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180801_0_L1C_X_S2B_7VFH_20180811_0_L1C_G0120V02_P077.nc_vy.tif
Sen2-20180811-20180831,20180811,20180831,20,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180811_0_L1C_X_S2B_7VFH_20180831_0_L1C_G0120V02_P028.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180811_0_L1C_X_S2B_7VFH_20180831_0_L1C_G0120V02_P028.nc_vy.tif
Sen2-20180818-20180917,20180818,20180917,30,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180818_0_L1C_X_S2B_7VFH_20180917_0_L1C_G0120V02_P088.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180818_0_L1C_X_S2B_7VFH_20180917_0_L1C_G0120V02_P088.nc_vy.tif
Sen2-20180831-20180910,20180831,20180910,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180831_0_L1C_X_S2B_7VFH_20180910_0_L1C_G0120V02_P033.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180831_0_L1C_X_S2B_7VFH_20180910_0_L1C_G0120V02_P033.nc_vy.tif
Sen2-20180910-20180920,20180910,20180920,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180910_0_L1C_X_S2B_7VFH_20180920_0_L1C_G0120V02_P053.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180910_0_L1C_X_S2B_7VFH_20180920_0_L1C_G0120V02_P053.nc_vy.tif
Sen2-20180917-20181002,20180917,20181002,15,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180917_0_L1C_X_S2A_7VFH_20181002_0_L1C_G0120V02_P090.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180917_0_L1C_X_S2A_7VFH_20181002_0_L1C_G0120V02_P090.nc_vy.tif
Sen2-20180920-20180930,20180920,20180930,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180920_0_L1C_X_S2B_7VFH_20180930_0_L1C_G0120V02_P057.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180920_0_L1C_X_S2B_7VFH_20180930_0_L1C_G0120V02_P057.nc_vy.tif
Sen2-20180930-20181005,20180930,20181005,5,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180930_0_L1C_X_S2A_7VFH_20181005_0_L1C_G0120V02_P062.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180930_0_L1C_X_S2A_7VFH_20181005_0_L1C_G0120V02_P062.nc_vy.tif
