Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy,OIE-x,OIE-y,OI-peak-x,OI-peak-y,slope_max-normal-E,slope_min-shear-E,E_ratio,pt0_velodiff,pt1_velodiff,pt2_velodiff
LS8-20180304-20180405,multi,4,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_gaus_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_gaus_50.tif,0.40411535196903103,0.7125076338797534,-0.009764752073152349,0.006053752473097295,0.08776773177165964,0.1384635622290613,0.6338687981063554,-0.4109452666998572,-0.25922040119423667,
LS8-20180304-20180405,multi,16,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_r_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_r_200.tif,0.6140104136459059,0.7672143993258354,0.00337481690618836,0.051312149008631375,0.05800792609728427,0.1085110256903806,0.5345809398466189,-0.38990827380371185,-0.16442742625299642,
LS8-20180304-20180405,multi,4,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_r_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_r_50.tif,1.3472897674223505,0.7925333516116073,-0.005787910668824473,0.010314540728619885,0.09103337893906675,0.12586162056038303,0.7232814779736038,0.21780777266558554,-0.3152450960496743,
LS8-20180802-20180818,multi,16,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_NAOF_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_NAOF_200.tif,0.19976005820210585,0.2196435618183573,0.059131150196932714,-0.007235553023872132,0.038472953078017375,0.06577062517776763,0.5849564752354268,-0.356108698929577,-0.2164661010031761,
LS8-20180802-20180818,multi,4,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_NAOF_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_NAOF_50.tif,0.35642746725218655,0.35900018158445374,0.031766716830049224,0.0020364321598012602,0.1656849005339854,0.2734169800568687,0.6059788258195382,-0.388083081426158,-0.09760913648678099,
LS8-20180802-20180818,multi,16,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_gaus_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_gaus_200.tif,0.13179707817378483,0.12640376363476258,0.030437282061943627,-0.01028063448772043,0.030221794425469836,0.055118361501273236,0.548307199312732,-0.5525996737039552,-0.36584754051224966,
LS8-20180802-20180818,multi,4,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_gaus_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_gaus_50.tif,0.22440611297163765,0.21965735907681305,0.022260775423761647,-0.0043621170697660805,0.08958837344354509,0.11661251255198128,0.7682569518739261,-0.4689091658878318,-0.48650286098405804,
LS8-20180802-20180818,multi,16,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_r_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_r_200.tif,0.37927234728945547,0.3853822126172901,0.029802549953853452,-0.03024678126823721,0.02566256002709901,0.041696370059916915,0.6154626887237998,-0.5534357434657624,-0.4430330232202381,
LS8-20180802-20180818,multi,4,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_r_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_r_50.tif,0.28179917934703325,0.3429577148902264,0.02581682718746009,-0.010256598938121475,0.08336241786231999,0.09783074642027474,0.8521085743759971,-0.45974704116763565,-0.5186511692503872,
Sen2-20180304-20180314,multi,20,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_s12_NAOF_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_s12_NAOF_200.tif,0.388821055062353,0.4206129580839253,-0.08736866220762352,-0.20474345286626772,0.058785870432393125,0.10894596750048699,0.5395873916318229,-0.15220593732858012,0.06844334568119137,0.3956776451326285
